,poste,Departement,experience,Contrat,Statut,dureeTravail_annuelle,bac+,Anglais,langages_programmation,langages_Web,bases_donnees,BI_soft,Salaire_Annuel
0,data scientist,75,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,45000.0
1,data manager,75,5.0,cdi,9.0,1716.0,4.0,0,0,0,0,1,47500.0
2,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,40500.0
3,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,52500.0
4,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,70000.0
5,consultant data,92,3.0,cdi,7.0,1540.0,2.0,0,1,0,0,0,32000.0
7,data analyst,92,1.0,cdd,5.0,1540.0,4.0,0,0,0,1,1,13200.0
8,data engineer,91,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,70000.0
9,data engineer,75,5.0,cdi,9.0,1716.0,5.0,1,1,0,0,1,41598.0
5,data manager,28,3.0,cdd,9.0,1540.0,4.0,1,1,1,0,0,34500.0
10,data manager,37,2.0,cdi,9.0,1540.0,4.0,0,0,0,1,0,40000.0
13,developpeur big data,45,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,38500.0
14,data engineer,37,5.0,cdi,9.0,1540.0,5.0,0,1,0,1,1,38500.0
15,data scientist,37,3.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,42500.0
19,data manager,45,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,47500.0
20,data analyst,37,2.0,cdi,9.0,1694.0,4.0,1,1,0,0,0,55000.0
21,data analyst,45,1.0,cdd,7.0,1540.0,5.0,0,0,0,0,1,18654.0
23,data analyst,37,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,40000.0
27,data analyst,45,1.0,cdi,6.0,1540.0,0.0,0,0,0,0,0,20280.0
1,data analyst,21,3.0,cdi,9.0,1672.0,2.0,0,0,0,0,1,38500.0
5,data manager,25,0.0,cdd,7.0,1540.0,3.0,0,0,0,0,0,19237.620000000003
1,consultant data,61,1.0,cdi,6.0,1716.0,2.0,0,0,0,0,0,22000.0
7,data engineer,76,1.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,50000.0
13,developpeur big data,59,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,30000.0
16,data scientist,59,2.0,cdd,9.0,1540.0,4.0,0,0,0,0,0,13758.0
23,data engineer,62,1.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,50000.0
24,consultant data,59,2.0,cdi,9.0,1540.0,4.0,1,0,0,0,0,40000.0
26,data engineer,59,3.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,45000.0
27,data manager,59,1.0,mis,8.0,1540.0,1.0,0,0,0,0,0,26070.196425000002
29,data engineer,59,5.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,30000.0
31,developpeur big data,59,1.0,cdi,9.0,1540.0,5.0,1,1,0,0,1,38400.0
35,data analyst,59,3.0,cdi,9.0,1540.0,5.0,0,1,1,1,1,37500.0
37,data manager,59,4.0,cdi,8.0,1540.0,3.0,1,0,0,0,0,33000.0
39,developpeur big data,59,2.0,cdi,9.0,1672.0,5.0,1,1,0,1,0,40000.0
40,data analyst,59,2.0,cdi,9.0,1672.0,4.0,1,1,0,1,1,38500.0
51,data analyst,59,5.0,cdi,9.0,1540.0,4.0,0,0,0,1,1,42500.0
57,data manager,59,1.0,mis,8.0,1540.0,1.0,0,0,0,0,0,23490.0
60,data scientist,59,3.0,cdi,9.0,1694.0,5.0,0,1,0,1,0,32500.0
66,data analyst,59,3.0,cdi,9.0,1540.0,5.0,0,1,1,1,1,44000.0
71,data analyst,59,3.0,cdi,9.0,1540.0,3.0,1,0,0,0,0,42500.0
0,data engineer,67,2.0,cdi,9.0,1540.0,5.0,0,0,0,1,0,47500.0
5,data analyst,67,2.0,cdd,8.0,1540.0,4.0,0,0,0,0,0,31500.0
7,data scientist,68,2.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,42500.0
8,data analyst,68,0.0,cdi,6.0,1540.0,2.0,1,0,0,0,0,30500.0
10,data analyst,68,1.0,cdi,9.0,1540.0,3.0,0,1,0,0,0,28000.0
18,data manager,68,2.0,cdi,9.0,1716.0,5.0,1,1,0,0,0,47500.0
0,data analyst,85,3.0,cdi,9.0,1540.0,2.0,1,0,0,0,1,47500.0
2,consultant data,53,3.0,cdi,8.0,1716.0,2.0,0,1,0,0,1,22000.0
4,consultant data,49,0.0,cdi,8.0,1540.0,2.0,0,0,0,0,0,28500.0
11,data analyst,44,1.0,cdi,9.0,1540.0,3.0,0,1,0,1,1,35000.0
13,data analyst,44,2.0,cdi,9.0,1540.0,3.0,0,1,0,0,0,35000.0
14,data analyst,44,2.0,cdi,9.0,1540.0,4.0,0,0,0,1,0,41500.0
15,data manager,44,1.0,cdi,9.0,1540.0,4.0,1,1,0,0,0,41500.0
20,data analyst,44,0.0,cdi,6.0,1716.0,5.0,0,0,0,1,1,33000.0
21,data analyst,53,3.0,cdi,9.0,1540.0,3.0,0,0,0,1,1,45000.0
22,developpeur big data,44,1.0,cdi,9.0,1540.0,5.0,1,0,0,0,1,34000.0
25,data analyst,44,2.0,cdi,9.0,1540.0,4.0,1,1,0,0,1,39000.0
28,data manager,44,2.0,mis,7.0,1540.0,2.0,0,1,0,0,0,23149.079999999998
31,developpeur big data,44,5.0,cdi,7.0,1628.0,2.0,1,1,0,0,0,29500.0
2,consultant data,87,3.0,cdi,8.0,1540.0,2.0,0,0,0,0,0,47500.0
8,developpeur big data,79,5.0,cdi,9.0,1540.0,5.0,0,1,0,1,1,60000.0
10,data engineer,33,2.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,39000.0
18,data engineer,79,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,1,39000.0
20,developpeur big data,33,2.0,cdi,8.0,1708.52,3.0,0,0,0,0,0,37500.0
22,developpeur big data,33,8.0,cdi,9.0,1540.0,5.0,1,1,1,1,0,65000.0
23,data analyst,33,5.0,cdi,9.0,1540.0,4.0,1,1,0,1,1,45000.0
25,data analyst,33,2.0,cdi,8.0,1708.52,3.0,0,1,0,1,1,36000.0
27,data analyst,33,2.0,cdi,9.0,1716.0,3.0,0,1,0,1,1,31500.0
30,consultant data,64,1.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,30000.0
31,data engineer,33,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,42500.0
35,developpeur big data,33,4.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,52500.0
37,consultant data,47,3.0,cdd,5.0,1540.0,2.0,1,0,0,0,0,23400.0
38,developpeur big data,33,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,72500.0
39,data analyst,79,4.0,cdi,9.0,1540.0,4.0,0,0,0,0,1,44000.0
40,data manager,33,1.0,cdd,8.0,1694.0,3.0,0,0,0,0,0,28566.0
41,data manager,33,3.0,cdi,9.0,1694.0,5.0,0,1,0,0,0,45000.0
42,developpeur big data,33,0.0,cdi,9.0,1694.0,5.0,0,1,0,1,1,40000.0
44,data analyst,87,5.0,cdd,9.0,1540.0,5.0,0,0,0,0,1,33000.0
59,data scientist,87,5.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,37000.0
61,data manager,87,5.0,cdd,9.0,1540.0,5.0,0,0,0,0,1,50500.0
0,data analyst,34,0.0,cdi,6.0,1540.0,3.0,0,0,0,0,0,27750.0
12,data analyst,81,1.0,mis,8.0,1540.0,4.0,1,1,0,0,0,29000.0
14,data engineer,34,1.0,cdi,8.0,1628.0,3.0,1,0,0,0,0,29500.0
22,data analyst,81,1.0,mis,8.0,1540.0,3.0,0,1,0,0,0,33000.0
23,developpeur big data,31,2.0,cdi,8.0,1540.0,3.0,1,1,0,1,0,42500.0
27,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,42500.0
32,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,1,0,0,1,0,30000.0
33,data engineer,66,0.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,45000.0
43,developpeur big data,31,0.0,cdi,9.0,1540.0,5.0,0,0,0,1,1,31000.0
44,developpeur big data,31,2.0,cdi,9.0,1628.0,5.0,1,1,0,0,1,36000.0
48,data scientist,66,2.0,cdi,8.0,1540.0,5.0,1,1,1,1,0,34500.0
50,data engineer,31,0.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,35000.0
60,data manager,31,0.0,cdi,7.0,1540.0,3.0,1,1,0,0,0,23000.0
63,data manager,34,5.0,cdi,6.0,1540.0,5.0,0,1,0,0,0,31500.0
69,data analyst,34,3.0,cdi,6.0,1540.0,2.0,1,1,0,1,0,33000.0
71,data analyst,31,2.0,cdi,9.0,1540.0,4.0,0,0,0,0,1,40800.0
72,developpeur big data,31,2.0,cdi,9.0,1672.0,5.0,1,0,0,0,1,41500.0
75,data analyst,30,2.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,37668.0
77,data manager,66,5.0,cdi,7.0,1540.0,3.0,0,0,0,0,1,31262.0
1,developpeur big data,69,1.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,35000.0
2,data manager,74,2.0,cdi,9.0,1540.0,2.0,1,0,0,1,0,50000.0
3,data manager,74,2.0,cdi,9.0,1540.0,2.0,1,0,0,1,0,50000.0
5,data analyst,69,2.0,cdi,9.0,1540.0,4.0,1,1,1,0,0,34000.0
7,data engineer,69,2.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,45000.0
8,data analyst,38,1.0,mis,8.0,1540.0,5.0,0,1,0,1,0,37500.0
11,data analyst,69,0.0,cdi,6.0,1716.0,2.0,0,0,0,1,0,36000.0
19,data analyst,69,3.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,40000.0
25,data analyst,69,3.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,45000.0
27,data scientist,69,0.0,cdi,9.0,1540.0,5.0,1,1,1,0,0,34000.0
28,data analyst,69,2.0,cdi,9.0,1540.0,4.0,1,1,0,1,1,32500.0
29,developpeur big data,69,1.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,34000.0
30,developpeur big data,69,1.0,cdi,9.0,1716.0,5.0,0,1,0,0,0,36000.0
34,data engineer,69,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,65000.0
39,developpeur big data,38,5.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,50000.0
40,data engineer,69,4.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,55000.0
45,data engineer,69,5.0,cdi,9.0,1540.0,5.0,1,0,0,1,0,65000.0
48,consultant data,69,5.0,cdi,9.0,1540.0,2.0,0,0,0,0,0,40000.0
49,data scientist,69,2.0,cdi,8.0,1540.0,3.0,1,1,1,1,0,34500.0
50,developpeur big data,69,5.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,55000.0
51,data analyst,74,1.0,cdi,9.0,1540.0,4.0,0,0,0,1,1,55000.0
53,data analyst,69,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,1,37000.0
54,data analyst,69,3.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,45000.0
56,data manager,69,5.0,cdi,9.0,1694.0,5.0,0,1,0,0,0,65000.0
57,developpeur big data,69,3.0,cdi,9.0,1694.0,5.0,0,0,0,0,0,40000.0
60,data analyst,69,0.0,cdi,8.0,1628.0,3.0,1,1,0,0,1,31000.0
64,developpeur big data,69,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,45000.0
65,data analyst,69,1.0,cdi,9.0,1540.0,4.0,0,0,0,0,0,37500.0
66,data analyst,69,0.0,cdi,9.0,1540.0,4.0,0,1,1,1,1,35000.0
67,data analyst,69,3.0,cdi,9.0,1540.0,4.0,0,0,0,0,0,47500.0
68,consultant data,63,3.0,cdi,6.0,176.0,3.0,0,0,0,0,0,5422.872
71,data engineer,69,4.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,57500.0
72,data scientist,69,1.0,cdi,9.0,1716.0,5.0,0,0,0,0,0,40000.0
73,data analyst,69,0.0,cdi,9.0,1540.0,5.0,0,0,0,1,1,33500.0
74,data analyst,69,2.0,cdi,9.0,1628.0,5.0,1,0,0,0,0,36500.0
79,data scientist,38,5.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,45000.0
91,data analyst,74,2.0,cdi,7.0,1716.0,2.0,0,1,0,0,0,32000.0
95,data scientist,69,0.0,cdi,6.0,1716.0,5.0,0,0,0,0,0,30000.0
101,consultant data,69,3.0,cdd,9.0,1540.0,5.0,1,0,0,0,0,37000.0
104,consultant data,38,1.0,cdd,7.0,1650.0,2.0,0,1,0,0,0,25500.0
105,data manager,69,5.0,cdi,9.0,1540.0,4.0,0,1,0,0,0,30500.0
106,consultant data,01,3.0,cdi,9.0,1716.0,5.0,0,1,0,0,0,50000.0
1,data analyst,13,2.0,cdi,8.0,1540.0,3.0,0,1,0,1,0,37500.0
2,developpeur big data,06,0.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,39000.0
11,data engineer,13,6.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,37500.0
12,data analyst,13,3.0,mis,7.0,1540.0,2.0,1,0,0,0,0,24696.0
14,data manager,06,2.0,cdd,9.0,1540.0,3.0,1,1,0,1,1,153000.0
16,developpeur big data,13,2.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,42000.0
27,data analyst,13,0.0,cdi,9.0,1716.0,5.0,1,0,0,1,1,32500.0
30,developpeur big data,06,3.0,cdi,9.0,1540.0,5.0,1,1,0,0,0,32500.0
35,data analyst,13,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,45000.0
40,developpeur big data,13,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,35000.0
42,data scientist,13,2.0,cdi,9.0,1540.0,4.0,0,1,1,1,1,33000.0
48,data analyst,83,4.0,cdi,9.0,1540.0,4.0,0,1,0,0,0,55000.0
51,data analyst,06,3.0,cdi,9.0,1540.0,4.0,0,1,0,0,0,44000.0
8,data scientist,75,5.0,,9.0,1540.0,4.0,1,1,0,1,0,45000.0
9,data analyst,73,1.0,cdi,9.0,1540.0,4.0,0,1,1,1,0,37500.0
24,data analyst,75,5.0,,9.0,1540.0,4.0,1,1,0,1,1,45000.0
26,data scientist,92,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,43000.0
39,data analyst,75,2.0,mis,9.0,1540.0,5.0,0,0,0,1,0,33500.0
65,data manager,28,3.0,mis,9.0,1540.0,4.0,1,1,1,0,0,34500.0
70,data analyst,92,2.0,mis,9.0,1540.0,3.0,0,1,0,1,1,28000.0
82,consultant data,93,3.0,mis,7.0,1540.0,2.0,0,0,0,0,1,33000.0
84,developpeur big data,75,5.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,67500.0
86,consultant data,19,3.0,mis,7.0,1540.0,2.0,0,1,0,0,0,21000.0
89,consultant data,93,5.0,,9.0,1540.0,4.0,0,0,0,0,0,43000.0
97,data manager,59,1.0,mis,8.0,1540.0,1.0,0,1,0,0,0,22800.0
99,consultant data,69,1.0,mis,7.0,1540.0,2.0,0,1,1,0,1,29000.0
111,data engineer,75,1.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,50000.0
117,data analyst,92,1.0,cdi,9.0,1540.0,4.0,0,1,0,1,1,47500.0
119,data scientist,92,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,42500.0
120,developpeur big data,69,1.0,,9.0,1540.0,5.0,1,1,0,1,0,39000.0
125,data engineer,92,2.0,cdi,9.0,1540.0,5.0,1,1,0,0,0,42500.0
131,data scientist,75,5.0,cdi,9.0,1540.0,5.0,1,1,0,0,0,50000.0
132,data engineer,75,5.0,,9.0,1540.0,4.0,0,0,0,0,0,475.0
133,data scientist,75,4.0,cdd,9.0,1540.0,5.0,0,1,0,1,0,32500.0
135,data manager,92,5.0,cdi,9.0,1540.0,4.0,0,0,0,1,1,41000.0
137,data analyst,25,3.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,40000.0
138,data analyst,11,5.0,,9.0,1540.0,4.0,1,1,0,1,0,40987.5
139,data scientist,13,7.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,62500.0
141,data engineer,75,2.0,,9.0,1540.0,4.0,0,1,0,1,0,46000.0
147,data manager,21,3.0,cdi,9.0,1540.0,4.0,1,1,0,0,0,45000.0
148,data analyst,59,5.0,cdi,9.0,1540.0,4.0,0,0,0,0,0,35000.0
149,developpeur big data,59,3.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,40000.0
178,developpeur big data,44,,,9.0,1540.0,5.0,0,0,0,1,0,42500.0
182,data engineer,06,7.0,cdi,9.0,1540.0,5.0,1,1,0,1,1,60000.0
185,data scientist,92,5.0,,9.0,1540.0,5.0,1,1,0,1,0,70000.0
189,data manager,15,10.0,cdd,9.0,1540.0,4.0,0,1,0,0,0,40560.0
192,data analyst,75,1.0,cdi,9.0,1540.0,4.0,0,1,0,1,1,33600.0
193,consultant data,57,5.0,cdi,9.0,1540.0,4.0,1,0,0,0,0,45000.0
196,consultant data,94,1.0,cdd,7.0,1540.0,3.0,0,0,0,0,0,22992.0
203,data scientist,94,5.0,,9.0,1540.0,5.0,0,1,0,1,0,67500.0
213,consultant data,35,4.0,cdd,8.0,1540.0,3.0,1,1,0,0,0,34392.0
222,consultant data,44,1.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,30000.0
226,data manager,75,3.0,cdi,9.0,1540.0,5.0,1,1,0,0,0,64000.0
230,consultant data,76,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,1,45000.0
243,data analyst,92,5.0,mis,8.0,1540.0,5.0,0,0,0,0,0,34419.594300000004
244,consultant data,69,1.0,mis,8.0,1540.0,3.0,0,0,0,0,1,21408.0
246,data analyst,75,,,9.0,1540.0,4.0,1,1,0,0,1,32500.0
250,data manager,78,3.0,cdi,9.0,1540.0,4.0,1,1,0,0,0,50000.0
252,data engineer,75,5.0,cdd,9.0,1540.0,3.0,0,1,0,1,0,47500.0
253,data analyst,75,5.0,cdi,9.0,1540.0,5.0,0,0,0,1,1,42500.0
254,data scientist,13,3.0,cdd,9.0,1540.0,5.0,1,1,1,0,0,32220.0
264,data engineer,93,2.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,750.0
269,data analyst,75,3.0,cdi,9.0,1540.0,4.0,1,1,0,1,0,52500.0
272,developpeur big data,92,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,1,60000.0
280,data analyst,92,2.0,cdi,7.0,1540.0,2.0,0,1,0,1,1,32000.0
286,consultant data,76,2.0,cdd,7.0,1540.0,4.0,0,0,0,0,1,24520.0
299,data analyst,75,2.0,cdi,9.0,1540.0,4.0,1,1,0,0,0,39000.0
307,data analyst,69,,,9.0,1540.0,5.0,0,0,0,0,0,32850.090000000004
315,data manager,94,5.0,cdi,9.0,1540.0,3.0,0,0,0,0,1,33600.0
318,data manager,75,5.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,47500.0
